external_id	study
GTEX-S32W-2226-SM-2XCAY.1	ADIPOSE_TISSUE
GTEX-WL46-0326-SM-3LK6Y.1	ADIPOSE_TISSUE
GTEX-144GM-0626-SM-79OKY.1	ADIPOSE_TISSUE
GTEX-14AS3-2026-SM-5TDD9.1	ADIPOSE_TISSUE
GTEX-14H4A-1026-SM-62LDY.1	ADIPOSE_TISSUE
GTEX-14JIY-1426-SM-6EU29.1	ADIPOSE_TISSUE
GTEX-14PJ3-1926-SM-62LEY.1	ADIPOSE_TISSUE
GTEX-15CHQ-1126-SM-686YY.1	ADIPOSE_TISSUE
GTEX-183FY-0326-SM-793BY.1	ADIPOSE_TISSUE
GTEX-1AX9J-0326-SM-73KXY.1	ADIPOSE_TISSUE
GTEX-1B97J-1126-SM-7SB79.1	ADIPOSE_TISSUE
GTEX-1BAJH-0426-SM-73KWY.1	ADIPOSE_TISSUE
GTEX-1C6VQ-1526-SM-73KU9.1	ADIPOSE_TISSUE
GTEX-1E2YA-0226-SM-9MQLY.1	ADIPOSE_TISSUE
GTEX-1GZ4H-0926-SM-9WG6Y.1	ADIPOSE_TISSUE
GTEX-1HKZK-1726-SM-ADEJ9.1	ADIPOSE_TISSUE
GTEX-1I19N-0426-SM-ACKVY.1	ADIPOSE_TISSUE
GTEX-1I1GR-1726-SM-COH39.1	ADIPOSE_TISSUE
GTEX-1IL2U-0326-SM-CE6T9.1	ADIPOSE_TISSUE
GTEX-1IOXB-0226-SM-CMKHY.1	ADIPOSE_TISSUE
GTEX-1JJ6O-0226-SM-E6CI9.1	ADIPOSE_TISSUE
GTEX-1JMLX-0126-SM-CMKG9.1	ADIPOSE_TISSUE
GTEX-1LSNL-1426-SM-E6CJ9.1	ADIPOSE_TISSUE
GTEX-1LSVX-0126-SM-EVYCY.1	ADIPOSE_TISSUE
GTEX-1N2EE-1526-SM-DTXE9.1	ADIPOSE_TISSUE
GTEX-1PPH8-0626-SM-EWRN9.1	ADIPOSE_TISSUE
GTEX-P4PP-0226-SM-D4P1Z.1	ADIPOSE_TISSUE
GTEX-XOT4-0226-SM-4B66Z.1	ADIPOSE_TISSUE
GTEX-13SLW-0226-SM-5S2NA.1	ADIPOSE_TISSUE
GTEX-XBEW-1726-SM-4RGMA.1	ADIPOSE_TISSUE
GTEX-11ZVC-2626-SM-5FQTA.1	ADIPOSE_TISSUE
GTEX-139T8-0226-SM-5L3EA.1	ADIPOSE_TISSUE
GTEX-13CF3-1126-SM-5LZXB.1	ADIPOSE_TISSUE
GTEX-13X6K-0226-SM-5QGPB.1	ADIPOSE_TISSUE
GTEX-ZUA1-2126-SM-57YRB.1	ADIPOSE_TISSUE
GTEX-13SLX-0426-SM-5QGRC.1	ADIPOSE_TISSUE
GTEX-ZVE2-0326-SM-57WFC.1	ADIPOSE_TISSUE
GTEX-139YR-0326-SM-5J1MC.1	ADIPOSE_TISSUE
GTEX-ZDYS-2126-SM-5S2OD.1	ADIPOSE_TISSUE
GTEX-1212Z-2426-SM-5EQ5D.1	ADIPOSE_TISSUE
GTEX-XMD2-0226-SM-4WWEE.1	ADIPOSE_TISSUE
GTEX-132NY-1126-SM-5PNVE.1	ADIPOSE_TISSUE
GTEX-ZPIC-1826-SM-57WFE.1	ADIPOSE_TISSUE
GTEX-11GS4-1026-SM-5N9DE.1	ADIPOSE_TISSUE
GTEX-14BIL-0226-SM-5SI9E.1	ADIPOSE_TISSUE
GTEX-12WSG-0426-SM-5FQSE.1	ADIPOSE_TISSUE
GTEX-146FR-1826-SM-5QGPF.1	ADIPOSE_TISSUE
GTEX-13U4I-1726-SM-5J1MF.1	ADIPOSE_TISSUE
GTEX-11DXY-0326-SM-5H12F.1	ADIPOSE_TISSUE
GTEX-131YS-1726-SM-5HL7G.1	ADIPOSE_TISSUE
GTEX-11EQ8-0226-SM-5EQ5G.1	ADIPOSE_TISSUE
GTEX-ZLWG-0726-SM-5S2NG.1	ADIPOSE_TISSUE
GTEX-ZYW4-2226-SM-5GZYG.1	ADIPOSE_TISSUE
GTEX-145MN-2626-SM-5NQAH.1	ADIPOSE_TISSUE
GTEX-ZYFC-0326-SM-5NQ7H.1	ADIPOSE_TISSUE
GTEX-ZA64-0926-SM-5HL7H.1	ADIPOSE_TISSUE
GTEX-139TT-0226-SM-5K7YH.1	ADIPOSE_TISSUE
GTEX-ZTPG-0226-SM-5O99I.1	ADIPOSE_TISSUE
GTEX-ZDYS-2226-SM-5S2MI.1	ADIPOSE_TISSUE
GTEX-147F3-0626-SM-5NQ9I.1	ADIPOSE_TISSUE
GTEX-13S86-0926-SM-5SI6I.1	ADIPOSE_TISSUE
GTEX-ZAJG-1626-SM-5HL7I.1	ADIPOSE_TISSUE
GTEX-131XG-0126-SM-5K7UJ.1	ADIPOSE_TISSUE
GTEX-117YX-2226-SM-5EGJJ.1	ADIPOSE_TISSUE
GTEX-132AR-0526-SM-5J2MJ.1	ADIPOSE_TISSUE
GTEX-ZZPU-0326-SM-5N9BJ.1	ADIPOSE_TISSUE
GTEX-14AS3-0426-SM-5QGQK.1	ADIPOSE_TISSUE
GTEX-11TT1-2426-SM-5EQMK.1	ADIPOSE_TISSUE
GTEX-13QBU-1326-SM-5LU4K.1	ADIPOSE_TISSUE
GTEX-12WSL-1126-SM-5CVNK.1	ADIPOSE_TISSUE
GTEX-1497J-2326-SM-5NQBK.1	ADIPOSE_TISSUE
GTEX-YF7O-2426-SM-5IFJL.1	ADIPOSE_TISSUE
GTEX-146FQ-0226-SM-5NQAL.1	ADIPOSE_TISSUE
GTEX-ZC5H-1626-SM-5HL7L.1	ADIPOSE_TISSUE
GTEX-ZTPG-2326-SM-57WFL.1	ADIPOSE_TISSUE
GTEX-14BIN-1226-SM-5S2OM.1	ADIPOSE_TISSUE
GTEX-ZYWO-2526-SM-5GIDM.1	ADIPOSE_TISSUE
GTEX-PLZ4-0226-SM-5SI7M.1	ADIPOSE_TISSUE
GTEX-WHPG-2126-SM-4M1ZM.1	ADIPOSE_TISSUE
GTEX-ZYY3-0226-SM-5E45M.1	ADIPOSE_TISSUE
GTEX-ZP4G-2326-SM-57WEM.1	ADIPOSE_TISSUE
GTEX-11EM3-1126-SM-5A5KM.1	ADIPOSE_TISSUE
GTEX-13D11-0526-SM-5LZYM.1	ADIPOSE_TISSUE
GTEX-11WQK-1526-SM-5EGKN.1	ADIPOSE_TISSUE
GTEX-ZEX8-2326-SM-5S2MN.1	ADIPOSE_TISSUE
GTEX-11TT1-1926-SM-5PNYN.1	ADIPOSE_TISSUE
GTEX-UTHO-0426-SM-5SI7N.1	ADIPOSE_TISSUE
GTEX-1211K-1226-SM-5EQ4N.1	ADIPOSE_TISSUE
GTEX-12696-2526-SM-5EQLN.1	ADIPOSE_TISSUE
GTEX-13OW6-2426-SM-5K7WO.1	ADIPOSE_TISSUE
GTEX-12C56-1626-SM-5FQUO.1	ADIPOSE_TISSUE
GTEX-ZXES-0926-SM-5E43O.1	ADIPOSE_TISSUE
GTEX-13W3W-1126-SM-5L3DO.1	ADIPOSE_TISSUE
GTEX-11VI4-1226-SM-5EQMP.1	ADIPOSE_TISSUE
GTEX-13OVH-1126-SM-5K7YP.1	ADIPOSE_TISSUE
GTEX-13W3W-2526-SM-5SI9P.1	ADIPOSE_TISSUE
GTEX-XLM4-1026-SM-4AT51.1	ADIPOSE_TISSUE
GTEX-111YS-2426-SM-5GZZQ.1	ADIPOSE_TISSUE
GTEX-11OF3-0826-SM-5BC51.1	ADIPOSE_TISSUE
GTEX-13N11-2626-SM-5K7UQ.1	ADIPOSE_TISSUE
GTEX-XAJ8-0226-SM-4GIB2.1	ADIPOSE_TISSUE
GTEX-N7MS-0326-SM-4E3K2.1	ADIPOSE_TISSUE
GTEX-11DXX-2326-SM-5Q5A2.1	ADIPOSE_TISSUE
GTEX-11XUK-2126-SM-5EQLR.1	ADIPOSE_TISSUE
GTEX-XXEK-2426-SM-4BRUS.1	ADIPOSE_TISSUE
GTEX-XMK1-2226-SM-4B673.1	ADIPOSE_TISSUE
GTEX-R55D-0326-SM-48FES.1	ADIPOSE_TISSUE
GTEX-XUW1-0526-SM-4BOP3.1	ADIPOSE_TISSUE
GTEX-11ILO-0226-SM-5N9D3.1	ADIPOSE_TISSUE
GTEX-12ZZX-1726-SM-5BC63.1	ADIPOSE_TISSUE
GTEX-13W46-1226-SM-5SIAS.1	ADIPOSE_TISSUE
GTEX-POMQ-2326-SM-5S2VS.1	ADIPOSE_TISSUE
GTEX-XUJ4-2526-SM-4BOO4.1	ADIPOSE_TISSUE
GTEX-13FH7-2226-SM-5IJD4.1	ADIPOSE_TISSUE
GTEX-11P82-1726-SM-5Q5AT.1	ADIPOSE_TISSUE
GTEX-12C56-0826-SM-5EGJ5.1	ADIPOSE_TISSUE
GTEX-1128S-0926-SM-5GZZU.1	ADIPOSE_TISSUE
GTEX-13O1R-0226-SM-5K7U5.1	ADIPOSE_TISSUE
GTEX-133LE-1926-SM-5N9FV.1	ADIPOSE_TISSUE
GTEX-13OW7-1126-SM-5K7V6.1	ADIPOSE_TISSUE
GTEX-145MI-0426-SM-5O99V.1	ADIPOSE_TISSUE
GTEX-13O61-2426-SM-5J1NV.1	ADIPOSE_TISSUE
GTEX-11DXW-0326-SM-5H11W.1	ADIPOSE_TISSUE
GTEX-11LCK-0326-SM-5A5M7.1	ADIPOSE_TISSUE
GTEX-11ONC-2526-SM-5986W.1	ADIPOSE_TISSUE
GTEX-13G51-2626-SM-5LZYW.1	ADIPOSE_TISSUE
GTEX-XMK1-0926-SM-4B66X.1	ADIPOSE_TISSUE
GTEX-W5X1-2626-SM-4LMI8.1	ADIPOSE_TISSUE
GTEX-131XH-0826-SM-5GCN8.1	ADIPOSE_TISSUE
GTEX-O5YV-0226-SM-48TBY.1	ADIPOSE_TISSUE
GTEX-XGQ4-2226-SM-4AT4Y.1	ADIPOSE_TISSUE
GTEX-1122O-0926-SM-5N9C9.1	ADIPOSE_TISSUE
GTEX-13PL6-0926-SM-5KLYY.1	ADIPOSE_TISSUE
GTEX-139D8-1626-SM-5IJFZ.1	ADIPOSE_TISSUE
GTEX-11TUW-2626-SM-5EQKZ.1	ADIPOSE_TISSUE
GTEX-11PRG-1526-SM-5HL6Z.1	ADIPOSE_TISSUE
GTEX-ZVE2-1826-SM-51MRZ.1	ADIPOSE_TISSUE
GTEX-14A6H-1026-SM-5SIAZ.1	ADIPOSE_TISSUE
GTEX-ZPCL-2126-SM-57WFZ.1	ADIPOSE_TISSUE
GTEX-11NUK-2026-SM-5PNVZ.1	ADIPOSE_TISSUE
GTEX-XBEC-0326-SM-4AT4M.1	ADIPOSE_TISSUE
GTEX-NPJ8-0226-SM-48TBN.1	ADIPOSE_TISSUE
